date,new_cases,new_deaths,hosp_patients,positive_rate,stringency_index,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,0.0,0.0,0.0,0.16,19.44,-1.0,4.0,7.0,1.0,4.0,0.0
2020-02-16,27.0,1.0,0.0,0.15,19.44,-9.0,-6.0,-35.0,-10.0,-2.0,2.0
2020-02-17,0.0,0.0,0.0,0.12,19.44,-2.0,1.0,-5.0,-1.0,0.0,1.0
2020-02-18,0.0,0.0,0.0,0.15,19.44,1.0,2.0,1.0,-2.0,0.0,1.0
2020-02-19,0.0,0.0,0.0,0.14,19.44,0.0,2.0,8.0,-3.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.13,25.0,1.0,4.0,4.0,-3.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.13,25.0,-1.0,2.0,7.0,-2.0,0.0,1.0
2020-02-22,0.0,0.0,0.0,0.16,25.0,-5.0,1.0,-10.0,-3.0,-1.0,2.0
2020-02-23,80.0,0.0,0.0,0.18,25.0,1.0,3.0,16.0,2.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.19,25.0,18.0,4.0,54.0,-27.0,-55.0,14.0
2020-02-25,0.0,0.0,0.0,0.18,34.26,0.0,7.0,0.0,-2.0,1.0,1.0
2020-02-26,0.0,0.0,0.0,0.17,34.26,-4.0,3.0,-5.0,-5.0,1.0,1.0
2020-02-27,0.0,0.0,0.0,0.18,34.26,-3.0,6.0,-4.0,-7.0,0.0,1.0
2020-02-28,0.0,0.0,0.0,0.17,34.26,-2.0,14.0,-4.0,-10.0,1.0,2.0
2020-02-29,0.0,0.0,0.0,0.13,34.26,-10.0,9.0,-22.0,-21.0,3.0,4.0
2020-03-01,107.0,5.0,0.0,0.13,34.26,-10.0,9.0,-1.0,-23.0,1.0,4.0
2020-03-02,0.0,0.0,0.0,0.14,43.52,-10.0,3.0,-15.0,-15.0,-2.0,4.0
2020-03-03,0.0,0.0,0.0,0.13,43.52,-2.0,9.0,11.0,-15.0,-2.0,4.0
2020-03-04,0.0,0.0,0.0,0.03,43.52,-12.0,-2.0,-21.0,-19.0,-4.0,5.0
2020-03-05,0.0,0.0,0.0,0.03,43.52,-9.0,3.0,-8.0,-18.0,-4.0,4.0
2020-03-06,0.0,0.0,0.0,0.03,43.52,-9.0,2.0,5.0,-18.0,-4.0,5.0
2020-03-07,0.0,0.0,0.0,0.04,43.52,-12.0,2.0,-8.0,-24.0,-4.0,5.0
2020-03-08,216.0,0.0,0.0,0.04,43.52,-17.0,-4.0,-35.0,-31.0,-5.0,6.0
2020-03-09,0.0,0.0,0.0,0.04,40.74,-7.0,2.0,11.0,-15.0,-3.0,4.0
2020-03-10,0.0,0.0,0.0,0.04,40.74,-9.0,-3.0,-28.0,-18.0,-5.0,6.0
2020-03-11,0.0,0.0,0.0,0.09,40.74,-3.0,4.0,13.0,-16.0,-4.0,3.0
2020-03-12,0.0,0.0,0.0,0.07,40.74,-3.0,5.0,16.0,-15.0,-4.0,3.0
2020-03-13,0.0,0.0,0.0,0.06,40.74,-5.0,3.0,10.0,-17.0,-4.0,5.0
2020-03-14,0.0,0.0,0.0,0.07,40.74,-14.0,-4.0,-39.0,-27.0,-7.0,7.0
2020-03-15,325.0,16.0,0.0,0.07,40.74,-7.0,5.0,9.0,-21.0,-3.0,3.0
2020-03-16,0.0,0.0,0.0,0.06,40.74,-7.0,0.0,-7.0,-15.0,-3.0,4.0
2020-03-17,0.0,0.0,0.0,0.06,40.74,-1.0,4.0,14.0,-15.0,-4.0,4.0
2020-03-18,0.0,0.0,0.0,0.04,40.74,-3.0,3.0,20.0,-14.0,-4.0,3.0
2020-03-19,0.0,0.0,0.0,0.04,40.74,4.0,6.0,17.0,-10.0,-4.0,2.0
2020-03-20,0.0,0.0,0.0,0.05,40.74,7.0,6.0,40.0,-34.0,-54.0,17.0
2020-03-21,0.0,0.0,0.0,0.04,40.74,-6.0,5.0,34.0,-15.0,-7.0,3.0
2020-03-22,266.0,18.0,0.0,0.05,40.74,-9.0,1.0,18.0,-18.0,-3.0,3.0
2020-03-23,0.0,0.0,0.0,0.04,40.74,-4.0,0.0,11.0,-13.0,-3.0,3.0
2020-03-24,0.0,0.0,0.0,0.04,40.74,0.0,3.0,14.0,-13.0,-4.0,4.0
2020-03-25,0.0,0.0,0.0,0.06,40.74,2.0,8.0,31.0,-11.0,-4.0,2.0
2020-03-26,0.0,0.0,0.0,0.07,40.74,0.0,13.0,26.0,-13.0,-5.0,3.0
2020-03-27,0.0,0.0,0.0,0.06,40.74,-10.0,3.0,-9.0,-19.0,-7.0,6.0
2020-03-28,0.0,0.0,0.0,0.08,40.74,-18.0,1.0,-23.0,-33.0,-8.0,7.0
2020-03-29,647.0,12.0,0.0,0.1,40.74,-26.0,-7.0,-25.0,-41.0,-9.0,7.0
2020-03-30,0.0,0.0,0.0,0.11,40.74,-7.0,4.0,-2.0,-20.0,-8.0,5.0
2020-03-31,0.0,0.0,0.0,0.11,40.74,-4.0,7.0,9.0,-20.0,-7.0,5.0
2020-04-01,0.0,0.0,0.0,0.11,40.74,-20.0,-5.0,-29.0,-25.0,-10.0,7.0
2020-04-02,0.0,0.0,0.0,0.12,40.74,-12.0,6.0,13.0,-23.0,-10.0,6.0
2020-04-03,0.0,0.0,0.0,0.12,43.52,-14.0,6.0,26.0,-25.0,-11.0,7.0
2020-04-04,0.0,0.0,0.0,0.13,43.52,-21.0,6.0,26.0,-35.0,-12.0,8.0
2020-04-05,1578.0,18.0,0.0,0.14,43.52,-25.0,2.0,3.0,-43.0,-13.0,8.0
2020-04-06,0.0,0.0,0.0,0.12,43.52,-13.0,7.0,15.0,-24.0,-11.0,7.0
2020-04-07,0.0,0.0,0.0,0.11,45.37,-12.0,6.0,17.0,-27.0,-13.0,8.0
2020-04-08,0.0,0.0,0.0,0.12,45.37,-22.0,2.0,16.0,-34.0,-16.0,9.0
2020-04-09,0.0,0.0,0.0,0.14,45.37,-24.0,2.0,8.0,-36.0,-17.0,10.0
2020-04-10,0.0,0.0,0.0,0.14,45.37,-26.0,4.0,0.0,-38.0,-18.0,12.0
2020-04-11,0.0,0.0,0.0,0.14,45.37,-30.0,4.0,3.0,-48.0,-22.0,12.0
2020-04-12,3477.0,28.0,0.0,0.15,45.37,-40.0,-9.0,-35.0,-58.0,-22.0,12.0
2020-04-13,0.0,0.0,0.0,0.15,45.37,-38.0,-15.0,-45.0,-45.0,-20.0,13.0
2020-04-14,0.0,0.0,0.0,0.13,45.37,-23.0,5.0,10.0,-41.0,-20.0,12.0
2020-04-15,0.0,0.0,0.0,0.14,45.37,-24.0,7.0,17.0,-41.0,-21.0,11.0
2020-04-16,0.0,0.0,0.0,0.12,47.22,-27.0,5.0,9.0,-43.0,-22.0,12.0
2020-04-17,0.0,0.0,0.0,0.13,47.22,-31.0,4.0,-1.0,-46.0,-23.0,14.0
2020-04-18,0.0,0.0,0.0,0.13,47.22,-48.0,-14.0,-47.0,-60.0,-26.0,16.0
2020-04-19,3613.0,63.0,0.0,0.11,47.22,-40.0,-3.0,1.0,-53.0,-23.0,11.0
2020-04-20,0.0,0.0,0.0,0.12,47.22,-37.0,-8.0,-33.0,-47.0,-23.0,14.0
2020-04-21,0.0,0.0,0.0,0.13,47.22,-31.0,1.0,8.0,-46.0,-25.0,14.0
2020-04-22,0.0,0.0,0.0,0.11,47.22,-36.0,-4.0,-3.0,-48.0,-26.0,14.0
2020-04-23,0.0,0.0,0.0,0.1,47.22,-36.0,-3.0,-4.0,-48.0,-26.0,15.0
2020-04-24,0.0,0.0,0.0,0.09,47.22,-37.0,-1.0,-8.0,-48.0,-26.0,16.0
2020-04-25,0.0,0.0,0.0,0.08,47.22,-41.0,-3.0,-9.0,-53.0,-26.0,14.0
2020-04-26,2821.0,187.0,0.0,0.08,47.22,-45.0,-9.0,-16.0,-58.0,-27.0,12.0
2020-04-27,0.0,0.0,0.0,0.07,47.22,-35.0,-5.0,-9.0,-47.0,-26.0,15.0
2020-04-28,0.0,0.0,5514.0,0.08,47.22,-28.0,2.0,4.0,-46.0,-27.0,14.0
2020-04-29,0.0,0.0,5514.0,0.08,47.22,-30.0,-5.0,23.0,-64.0,-64.0,22.0
2020-04-30,0.0,0.0,5514.0,0.06,47.22,-30.0,4.0,8.0,-47.0,-32.0,16.0
2020-05-01,0.0,0.0,5514.0,0.06,47.22,-35.0,1.0,4.0,-50.0,-35.0,19.0
2020-05-02,0.0,0.0,5514.0,0.06,47.22,-43.0,-5.0,-11.0,-55.0,-30.0,15.0
2020-05-03,1657.0,144.0,5514.0,0.06,47.22,-45.0,-9.0,-19.0,-58.0,-30.0,12.0
2020-05-04,0.0,0.0,5514.0,0.07,47.22,-28.0,-6.0,4.0,-67.0,-73.0,29.0
2020-05-05,0.0,0.0,5514.0,0.07,47.22,-23.0,0.0,29.0,-65.0,-73.0,29.0
2020-05-06,0.0,0.0,5514.0,0.07,47.22,-36.0,-12.0,-17.0,-69.0,-72.0,30.0
2020-05-07,0.0,0.0,4436.0,0.05,47.22,-31.0,1.0,3.0,-44.0,-26.0,14.0
2020-05-08,0.0,0.0,4436.0,0.04,47.22,-34.0,0.0,6.0,-45.0,-27.0,16.0
2020-05-09,0.0,0.0,4436.0,0.03,47.22,-39.0,-5.0,-20.0,-51.0,-20.0,13.0
2020-05-10,908.0,121.0,4436.0,0.02,47.22,-38.0,-7.0,-35.0,-56.0,-24.0,12.0
2020-05-11,0.0,0.0,4436.0,0.02,47.22,-32.0,-2.0,0.0,-42.0,-22.0,12.0
2020-05-12,0.0,0.0,4436.0,0.02,47.22,-30.0,0.0,6.0,-43.0,-23.0,13.0
2020-05-13,0.0,0.0,3423.0,0.01,47.22,-31.0,-1.0,4.0,-44.0,-23.0,13.0
2020-05-14,0.0,0.0,3423.0,0.01,40.74,-30.0,-1.0,6.0,-44.0,-23.0,12.0
2020-05-15,0.0,0.0,3423.0,0.02,40.74,-32.0,0.0,-4.0,-44.0,-23.0,15.0
2020-05-16,0.0,0.0,3423.0,0.01,40.74,-40.0,-12.0,-52.0,-55.0,-23.0,14.0
2020-05-17,538.0,131.0,3423.0,0.01,40.74,-32.0,-1.0,-2.0,-48.0,-20.0,9.0
2020-05-18,0.0,0.0,3423.0,0.01,40.74,-32.0,-7.0,-20.0,-42.0,-20.0,13.0
2020-05-19,0.0,0.0,3423.0,0.01,40.74,-29.0,-4.0,-20.0,-43.0,-22.0,14.0
2020-05-20,0.0,0.0,3423.0,0.01,40.74,-26.0,1.0,-6.0,-41.0,-21.0,12.0
2020-05-21,0.0,0.0,2058.0,0.01,40.74,-27.0,-1.0,-8.0,-41.0,-21.0,12.0
2020-05-22,0.0,0.0,2058.0,0.01,40.74,-29.0,-2.0,-5.0,-41.0,-21.0,13.0
2020-05-23,0.0,0.0,2058.0,0.01,40.74,-27.0,0.0,-8.0,-43.0,-20.0,11.0
